"Site","Quadrat","Year","Depth metres","Temperature celsius","Sand %","Macroalgae %","Microalgae %","Corals %"
"LTER01","Q1.1",2005,"1",27.5293184924819,22.5,0,0,77.5
"LTER02","Q1.1",2005,"1",27.594211757064,0,0,2.6,97.4
"LTER03","Q1.1",2005,"1",NA,30.1,0,36.7,33.2
"LTER04","Q1.1",2005,"1",NA,21.4,0,57.1,21.5
"LTER05","Q1.1",2005,"1",NA,0.6,0,3.6,95.8
"LTER06","Q1.1",2005,"1",NA,93.4,0,0.6,6
"LTER01","Q1.1",2006,"1",28.0624931423347,10.1,0,42,47.9
"LTER02","Q1.1",2006,"1",28.2292330092039,0,0,12.5,87.5
"LTER03","Q1.1",2006,"1",27.6003052204659,0,0,68.6,31.4
"LTER04","Q1.1",2006,"1",27.5750067609736,30.3,0,38.9,30.9
"LTER05","Q1.1",2006,"1",27.6266973004021,22.7,0,9.3,68
"LTER06","Q1.1",2006,"1",27.6461775296144,73.2,0,15.5,11.3
"LTER01","Q1.1",2007,"1",28.0634093245878,39.5,1.6,41.1,0
"LTER02","Q1.1",2007,"1",27.4090923974943,0,0,1.6,0
"LTER03","Q1.1",2007,"1",28.0712776324747,3.1,1,63.4,17.3
"LTER04","Q1.1",2007,"1",28.0299992839754,8.6,0,61.9,29
"LTER05","Q1.1",2007,"1",28.117369361003,1.6,0,30.1,68.4
"LTER06","Q1.1",2007,"1",28.0809681683398,36.5,0.6,57.5,5.5
"LTER01","Q1.1",2008,"1",27.6146916441844,38.9,2.5,19.2,39.4
"LTER02","Q1.1",2008,"1",27.7110048381094,0,0,1,99
"LTER03","Q1.1",2008,"1",27.820307308452,18,0,43.5,38.5
"LTER04","Q1.1",2008,"1",27.6445644864074,95,0,5,0
"LTER05","Q1.1",2008,"1",27.7679004491018,6.5,1.5,2,90
"LTER06","Q1.1",2008,"1",27.6501033257992,61,2,30.5,6.5
"LTER01","Q1.1",2009,"1",27.9906445963182,23.8,0.5,56.6,19
"LTER02","Q1.1",2009,"1",28.0414380366696,0,0,1.5,98.5
"LTER03","Q1.1",2009,"1",27.994474226357,0,0,54.7,45.4
"LTER04","Q1.1",2009,"1",27.9707363972128,7.4,7.4,59.5,25.8
"LTER05","Q1.1",2009,"1",28.0576962174716,2.7,1.6,3.2,92.6
"LTER06","Q1.1",2009,"1",28.1397490753499,71.7,0,22.3,6
"LTER01","Q1.1",2010,"1",27.887508013432,50.3,0,41.2,8.5
"LTER02","Q1.1",2010,"1",27.9095695528069,0,0.5,56,43.5
"LTER03","Q1.1",2010,"1",27.9704774682195,9.3,0,76,14.8
"LTER04","Q1.1",2010,"1",27.8959225000952,69.4,0,29.6,1.1
"LTER05","Q1.1",2010,"1",28.2852811235068,0,1,2.1,96.9
"LTER06","Q1.1",2010,"1",27.8899431028905,69.1,1,17.8,12
"LTER01","Q1.1",2011,"1",27.229412682704,24.9,4.9,54.6,15.6
"LTER02","Q1.1",2011,"1",27.2557628312519,0,4.2,60.5,35.3
"LTER03","Q1.1",2011,"1",27.5005280113145,3.2,0,88.1,8.6
"LTER04","Q1.1",2011,"1",27.2244127165429,11.4,3.3,70.1,15.2
"LTER05","Q1.1",2011,"1",27.2567307991495,6.8,0,7.4,85.8
"LTER06","Q1.1",2011,"1",27.2498702041283,60.1,1.1,27.7,11.2
"LTER01","Q1.1",2012,"1",27.7841114724171,28.2,24.5,37.2,10.1
"LTER02","Q1.1",2012,"1",27.758065649754,0,24,61.5,14.5
"LTER03","Q1.1",2012,"1",27.6645911251981,6.5,0,88.7,4.9
"LTER04","Q1.1",2012,"1",27.7159185300482,18.2,0,74,7.8
"LTER05","Q1.1",2012,"1",27.8079607537708,0,0,39.4,60.6
"LTER06","Q1.1",2012,"1",27.7190939144643,63.2,3.2,24.9,8.6
"LTER01","Q1.1",2013,"1",27.6504694813144,30.3,1.1,48.1,20.5
"LTER02","Q1.1",2013,"1",27.506674492737,0,0.6,91.2,8.3
"LTER03","Q1.1",2013,"1",27.5195094462167,2.3,0,90.9,5.7
"LTER04","Q1.1",2013,"1",27.4603885629097,7.3,0,84.4,8.4
"LTER05","Q1.1",2013,"1",27.471182624576,0,0.6,51.4,47
"LTER06","Q1.1",2013,"1",27.4961078703076,63.4,2.9,30.9,2.9
"LTER01","Q1.1",2014,"1",27.7898602262202,52.3,4.5,41.5,1.7
"LTER02","Q1.1",2014,"1",27.8362737713179,0,10.2,84.2,3.4
"LTER03","Q1.1",2014,"1",27.8329987813702,5.4,0,88.1,6
"LTER04","Q1.1",2014,"1",27.7586491685873,55.9,3.4,40.8,0
"LTER05","Q1.1",2014,"1",27.904828222844,0,0,51.9,48.1
"LTER06","Q1.1",2014,"1",27.8239230913424,60.6,1.1,27.8,10.6
"LTER01","Q1.1",2015,"1",28.2533522618363,50.3,11.8,29,6.5
"LTER02","Q1.1",2015,"1",27.9682522385216,0,11.9,83.6,2.9
"LTER03","Q1.1",2015,"1",27.9845805333993,4.2,0.6,83.9,10.7
"LTER04","Q1.1",2015,"1",27.909146250928,97.6,0,2.4,0
"LTER05","Q1.1",2015,"1",28.0040059573818,0,0,71.8,26.6
"LTER06","Q1.1",2015,"1",27.9921481749462,52.9,13.6,20.9,12.6
"LTER01","Q1.1",2016,"1",28.0406091074866,20.9,40.7,26,11.9
"LTER02","Q1.1",2016,"1",28.1715244481593,0,14.1,85.3,0
"LTER03","Q1.1",2016,"1",28.164708877111,3.2,3.2,88.5,5.1
"LTER04","Q1.1",2016,"1",28.0995342611403,0.6,6.2,78.4,14.8
"LTER05","Q1.1",2016,"1",28.2164700007308,78.3,0,12.8,6.1
"LTER06","Q1.1",2016,"1",28.2387807610512,66.7,3,23.8,6.5
"LTER01","Q1.1",2017,"1",28.3689186879477,21.6,20.5,42.1,14
"LTER02","Q1.1",2017,"1",28.3462896403142,1.7,22.5,61.9,0
"LTER03","Q1.1",2017,"1",28.3763806299676,16.4,12.6,57.4,8.2
"LTER04","Q1.1",2017,"1",28.0708088753452,98.9,0,0,1.1
"LTER05","Q1.1",2017,"1",28.1966917436435,12.1,0.6,45.4,31
"LTER06","Q1.1",2017,"1",28.3799132867838,65.7,12,21.7,0.6
"LTER01","Q1.1",2018,"1",28.0732817797417,28.6,19.6,37.6,10.1
"LTER02","Q1.1",2018,"1",28.0082232156987,2.2,11.6,51.4,3.9
"LTER03","Q1.1",2018,"1",27.9639161917708,3.8,8.6,65.6,5.3
"LTER04","Q1.1",2018,"1",27.9599065741306,39.8,9.7,41.9,8.1
"LTER05","Q1.1",2018,"1",28.1035164312098,12.8,0.5,14.4,63.6
"LTER06","Q1.1",2018,"1",27.9144224900429,82.4,16.6,1,0
"LTER01","Q1.1",2019,"1",27.2845838001952,35.4,28.1,16.7,10.9
"LTER02","Q1.1",2019,"1",28.1940967334076,18,34.4,31.7,1.1
"LTER03","Q1.1",2019,"1",28.1140556868425,30.8,9.3,8.8,4.9
"LTER04","Q1.1",2019,"1",27.805624841443,77.7,0.5,16,3.2
"LTER05","Q1.1",2019,"1",28.1542794759825,13.3,0,21.8,53.2
"LTER06","Q1.1",2019,"1",28.3183883003953,55.2,40.1,4.2,0
"LTER01","Q1.1",2020,"1",28.3060439717665,0,1.5,0,14.1
"LTER02","Q1.1",2020,"1",28.1366869747899,0,18.8,0,11.5
"LTER03","Q1.1",2020,"1",28.1726081920207,0,0,0,4.8
"LTER04","Q1.1",2020,"1",28.1994896370438,0,0.5,0,0
"LTER05","Q1.1",2020,"1",28.2084073806628,0,0,0,64.2
"LTER06","Q1.1",2020,"1",27.9783467231688,0,1.1,0,0
"LTER01","Q1.1",2021,"1",28.5024019399302,15.3,22.6,48.9,13.2
"LTER02","Q1.1",2021,"1",28.4131850842418,0,56.3,40.4,3.2
"LTER03","Q1.1",2021,"1",28.3892764139428,0,15,74.6,9.3
"LTER04","Q1.1",2021,"1",28.3469249650564,77.5,0.6,21.9,0
"LTER05","Q1.1",2021,"1",28.5428812559888,0,0.5,73.3,24.1
"LTER06","Q1.1",2021,"1",28.5016351606805,3.8,5.5,85.2,5.5
"LTER01","Q1.2",2005,"1",27.5293184924819,30.2,0,49.1,20.7
"LTER02","Q1.2",2005,"1",27.594211757064,0,0,0.6,99.4
"LTER03","Q1.2",2005,"1",NA,0,0.6,64.2,35.1
"LTER04","Q1.2",2005,"1",NA,26.1,0,48.5,25.4
"LTER05","Q1.2",2005,"1",NA,30.3,0,6.1,63.6
"LTER06","Q1.2",2005,"1",NA,100,0,0,0
"LTER01","Q1.2",2006,"1",28.0624931423347,21.5,0,52.8,25.8
"LTER02","Q1.2",2006,"1",28.2292330092039,0,0,6.2,93.8
"LTER03","Q1.2",2006,"1",27.6003052204659,6.9,0,56.9,36.1
"LTER04","Q1.2",2006,"1",27.5750067609736,9.5,1.2,32.1,57.2
